#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:all_aligned_unique" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:all_aligned_unique" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:all_aligned_unique" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.all_aligned_unique" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:all_aligned_unique" name="distribution" x="@birthRate.t:all_aligned_unique">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@all_aligned_unique" id="treeLikelihood.all_aligned_unique" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:all_aligned_unique">
#            <siteModel id="SiteModel.s:all_aligned_unique" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:all_aligned_unique" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:all_aligned_unique" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:all_aligned_unique" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:all_aligned_unique" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:all_aligned_unique" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:all_aligned_unique" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
28000	-5904767.460920059	-5908147.320275123	3379.8593550642377	-5908147.320275123	0.5476768085854089	75.50779094109016	3379.8593550642377	22.255472288116483
29000	-5802973.7436352605	-5806413.363635825	3439.6200005643727	-5806413.363635825	0.4983393974387561	72.82002089492526	3439.6200005643727	22.16326163042031
30000	-5714180.046324581	-5717627.9378033895	3447.8914788083885	-5717627.9378033895	0.5960524425848905	72.45025467410404	3447.8914788083885	22.23834070429933
31000	-5586244.876073254	-5589762.331553534	3517.455480279659	-5589762.331553534	0.4675491624919214	69.41353729032541	3517.455480279659	24.01718263927264
32000	-5495394.7539583435	-5498952.025303183	3557.2713448391532	-5498952.025303183	0.4191656235521129	67.75572982983006	3557.2713448391532	24.01718263927264
33000	-5408763.576558972	-5412343.557527094	3579.9809681224197	-5412343.557527094	0.4230986109682232	66.81017249180368	3579.9809681224197	24.01718263927264
34000	-5347320.314158347	-5350897.537288195	3577.2231298482075	-5350897.537288195	0.40085492685665425	66.93065783210588	3577.2231298482075	24.208599431010764
35000	-5236636.087912833	-5240268.5402756445	3632.452362811512	-5240268.5402756445	0.43936889250342975	64.7028600035485	3632.452362811512	25.326790403007713
36000	-5115386.477275503	-5119037.018920853	3650.541645349518	-5119037.018920853	0.40608021341042877	63.95986176296658	3650.541645349518	24.726578226951737
37000	-5036416.293585205	-5040118.062776663	3701.7691914578463	-5040118.062776663	0.3751160778740611	61.98645423340781	3701.7691914578463	25.573984842216298
38000	-4947036.706251857	-4950801.567716989	3764.8614651317007	-4950801.567716989	0.391124426399533	59.65759787511462	3764.8614651317007	27.204131335869548
39000	-4835602.092128641	-4839347.128786754	3745.036658113331	-4839347.128786754	0.40039102057584003	60.36940808991017	3745.036658113331	26.35380978231034
40000	-4777819.860804261	-4781530.406206276	3710.5454020151883	-4781530.406206276	0.5242723855515421	61.49655394104574	3710.5454020151883	24.534831517863385
41000	-4657726.106675733	-4661559.938368928	3833.831693194423	-4661559.938368928	0.4833851806291469	57.16963758239482	3833.831693194423	29.261264578700995
42000	-4569448.993481998	-4573265.925755168	3816.9322731697534	-4573265.925755168	0.5019081340858075	57.75254389410416	3816.9322731697534	27.322636638592382
43000	-4516427.566611366	-4520340.025510274	3912.4588989074273	-4520340.025510274	0.43811556952957287	54.49634447248159	3912.4588989074273	30.02436030854004
44000	-4449565.417323474	-4453473.929423839	3908.5121003648123	-4453473.929423839	0.4050797258157883	54.615023294594344	3908.5121003648123	29.201303127283527
45000	-4383772.13465201	-4387739.852227916	3967.7175759061342	-4387739.852227916	0.3826622129495536	52.67765340714359	3967.7175759061342	30.60445072765961
46000	-4326122.352925715	-4330076.81610023	3954.4631745158345	-4330076.81610023	0.4999952216882326	53.11074078741561	3954.4631745158345	30.60445072765961
47000	-4267792.487163772	-4271806.67092133	4014.183757558314	-4271806.67092133	0.33570122455284007	51.074272890401346	4014.183757558314	29.73381101476785
48000	-4229381.910683821	-4233411.3590128245	4029.4483290035137	-4233411.3590128245	0.651337791589574	50.71254753188628	4029.4483290035137	31.466943948630302
49000	-4185918.702774396	-4189926.0539016346	4007.351127238703	-4189926.0539016346	0.31530779238463424	51.41478292534884	4007.351127238703	31.466943948630302
50000	-4143679.813338697	-4147726.3416622444	4046.5283235472307	-4147726.3416622444	0.2987856135357485	50.19611233400439	4046.5283235472307	32.52166488876216
51000	-4079588.973149161	-4083666.357481969	4077.3843328084017	-4083666.357481969	0.29020877409943013	49.25112942790726	4077.3843328084017	33.555303151197165
52000	-4022677.3142087325	-4026792.6822535526	4115.368044820215	-4026792.6822535526	0.2885373926886599	48.119155985716304	4115.368044820215	33.555303151197165
53000	-3961976.2412287863	-3966014.789233195	4038.5480044090505	-3966014.789233195	0.3368046712964847	50.332644171218284	4038.5480044090505	30.312973839875863
54000	-3909623.0558569916	-3913686.30449686	4063.2486398687756	-3913686.30449686	0.5476040788606517	49.67995564647194	4063.2486398687756	33.259708720327055
55000	-3851412.6047693742	-3855559.289678758	4146.684909383976	-3855559.289678758	0.5266592416303626	47.20081176101858	4146.684909383976	35.08987664237749
56000	-3819442.430881249	-3823598.3518269984	4155.920945749461	-3823598.3518269984	0.47054570698754533	46.939277232939986	4155.920945749461	34.91963185787819
57000	-3761834.516562933	-3766001.591896408	4167.07533347452	-3766001.591896408	0.44300796267118153	46.60412502402174	4167.07533347452	35.916156999650795
58000	-3729032.7511978387	-3733247.33530576	4214.584107921662	-3733247.33530576	0.3947387952498667	45.26808986583635	4214.584107921662	35.15861687129167
59000	-3672819.04971652	-3676998.3871164666	4179.3373999466	-3676998.3871164666	0.4016683195073181	46.21396386216688	4179.3373999466	37.07037705090351
60000	-3639403.1314379936	-3643646.855451535	4243.724013541592	-3643646.855451535	0.3593679563715253	44.47267812010675	4243.724013541592	36.0257595925271
61000	-3588620.9607204827	-3592902.1932705385	4281.232550055789	-3592902.1932705385	0.34057860196490164	43.45969042673374	4281.232550055789	38.28858622573844
62000	-3545835.9054919006	-3550132.6233900418	4296.717898141049	-3550132.6233900418	0.30977894666417716	43.05465167016043	4296.717898141049	37.43159298675437
63000	-3508342.5787254674	-3512651.5133270277	4308.9346015602505	-3512651.5133270277	0.3519815876948152	42.72827754487148	4308.9346015602505	37.43159298675437
64000	-3442007.081417591	-3446367.365647464	4360.284229873129	-3446367.365647464	0.30603782630882675	41.41010465845056	4360.284229873129	39.75200369678075
65000	-3385428.731511098	-3389815.360434379	4386.628923280875	-3389815.360434379	0.2851656854692486	40.74737848221401	4386.628923280875	39.75200369678075
66000	-3335302.3429948217	-3339708.7673741393	4406.424379317605	-3339708.7673741393	0.27748218003732367	40.22669488537394	4406.424379317605	38.997764919283966
67000	-3264566.8311180286	-3268979.867704001	4413.036585972269	-3268979.867704001	0.2619143198631658	40.08740389487735	4413.036585972269	39.95817917460999
68000	-3212239.542198091	-3216712.557958328	4473.01576023718	-3216712.557958328	0.2518473985254708	38.64149558372771	4473.01576023718	41.55007266454904
69000	-3184745.9535678974	-3189241.1300393823	4495.176471485008	-3189241.1300393823	0.2495071281569481	38.09835900309465	4495.176471485008	41.23812176684574
70000	-3144297.4671946	-3148810.723926519	4513.256731918856	-3148810.723926519	0.22983755459958546	37.672199710872825	4513.256731918856	41.52912299959013
71000	-3104484.130183717	-3109007.9792722026	4523.849088485759	-3109007.9792722026	0.22469913832027022	37.460049954828946	4523.849088485759	43.710454150659594
