"","plate_well","clone","date","location","accuratelocation"
"1","Gilmer5_A1","simo","12/22/2023","US","Gilmer"
"2","Gilmer5_A10","Gilmer","12/22/2023","US","Gilmer"
"3","Gilmer5_A11","Gilmer","12/22/2023","US","Gilmer"
"4","Gilmer5_A12","Gilmer","12/22/2023","US","Gilmer"
"5","Gilmer5_A2","simo","12/22/2023","US","Gilmer"
"6","Gilmer5_A3","Gilmer","12/22/2023","US","Gilmer"
"7","Gilmer5_A4","Gilmer","12/22/2023","US","Gilmer"
"8","Gilmer5_A5","Gilmer","12/22/2023","US","Gilmer"
"9","Gilmer5_A6","Gilmer","12/22/2023","US","Gilmer"
"10","Gilmer5_A7","Gilmer","12/22/2023","US","Gilmer"
"11","Gilmer5_A8","Gilmer","12/22/2023","US","Gilmer"
